Program,1982-2007,2008,2009,2010,2011,2012,Program type
Appliance Efficiency Program,131552388,4091910,4541960,5352865.64,6204552.82,4631414.76,Residential Efficiency 
Home Performance with Energy Star - Rebate,63528814,4390425,4864425,5808475,5765025,4348950,Residential Efficiency 
Home Performance with Energy Star - Loan,48651690,420675,377225,215275,140225,67150,Residential Efficiency 
Free Weatherization,15510490,551965,588034,498408,1141092,1143278,Residential Efficiency 
Multi-Family ,75851290,23847000,11359498.2017881,13231309.7939048,7197412.6,7885592.6532,Residential Efficiency 
Clothes Washer Rebates,1993480,234144,252864,296352,186336,119232,Residential Efficiency 
Duct Leaks Seal/Diagnosis,4398200,0,0,0,0,0,Residential Efficiency 
Refrigeration Recycling,7578359,2925390,2667665,2529864,2057157,1667974.83333333,Residential Efficiency 
Power Partner Program,766865,97353.2,76822.2,45246.6,14807.8,8731.8,Residential Efficiency 
Cycle Saver Program,619174.56,7422,10092,12054,5682,3522,Residential Efficiency 
CFL Program,9617250,6243969.4,13889516.2,0,0,0,Residential Efficiency 
Previous Programs,11574850,0,0,0,0,0,Residential Efficiency 
Commercial Rebate & Interlocal Agreement,227383866.23,42783000,29997698.27,37125977,53244000,55926980,Commercial Energy Management
Small Business,21491846,3652000,2032928.34,5311072.39,12292260,1997330,Commercial Energy Management
Municipal,45184757,383000,645938,1802216.79,3150140,1380230,Commercial Energy Management
Power Partner,1421650,14374.8,8326.8,8424,1803.6,119,Commercial Energy Management
Load Co-op,191815.9,19200,56810,5333.3333333333,0,0,Commercial Energy Management
Commercial Smart Vendor,6852003,491820,181505,137007,158085,3513,Commercial Energy Management
Previous Programs,365563860,0,0,0,0,0,Commercial Energy Management
Residential,21911138,1529458,1066576,1081556,200304,120524.8,Green Building 
Residential Energy Code ,31559900,7914378.05,4677044.9,5137214.45,7258474.47,9357451.74,Green Building 
Multi-Family,3750530,0,1812473,640502,207794,1813441.35,Green Building 
Multi-Family Energy Code ,31399428,4627215,2176380,281196,2563506,8019501.27,Green Building 
Commercial ,16844704,13377472.77,11933710,5298800.5,7503482,1746662.65,Green Building 
Commercial Energy Code,66482599.27,14590123.11667,9010577,4137904,8005662.96,5814374.65,Green Building 
Subtotal Green Building ,171948299.27,42038646.93667,30676760.9,16577172.95,25739223.43,26871956.46,Green Building 
Engineering Support & Thermal Energy Storage,34230,0,0,0,0,0,Commercial Energy Management
